entity_type,entity_id,change_type,metric_trigger,before_value,after_value,explanation
Template — Content,TPL-C4885C56,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (trial) | Goal: Increase gamification engagement • rapid adoption & habit formation | Theme/Hook: Loss Avoidance/Streak Reminder. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-1ADEF626,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (trial) | Goal: Increase gamification engagement • rapid adoption & habit formation | Theme/Hook: Loss Avoidance/Missed Goal Alert. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-94B611B1,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (trial) | Goal: Increase gamification engagement • rapid adoption & habit formation | Theme/Hook: Loss Avoidance/Log → Feedback → Adjust Loop. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-2BC10C9B,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (trial) | Goal: Increase gamification engagement • rapid adoption & habit formation | Theme/Hook: Loss Avoidance/Warm Accountability. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-7FDAF9FC,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (trial) | Goal: Increase gamification engagement • rapid adoption & habit formation | Theme/Hook: Loss Avoidance/Rapid Adoption. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-379FD85B,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (inactive) | Goal: Increase gamification engagement • compelling return value proposition | Theme/Hook: Loss Avoidance/Streak reminder. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-9FE4679E,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (inactive) | Goal: Increase gamification engagement • compelling return value proposition | Theme/Hook: Loss Avoidance/Missed goal alert. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-01A70FDA,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (inactive) | Goal: Increase gamification engagement • compelling return value proposition | Theme/Hook: Loss Avoidance/Feedback loop. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-B9D212C0,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (inactive) | Goal: Increase gamification engagement • compelling return value proposition | Theme/Hook: Loss Avoidance/Log review. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-8EFB3733,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (inactive) | Goal: Increase gamification engagement • compelling return value proposition | Theme/Hook: Loss Avoidance/Streak motivation. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-34D74FF1,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S7 (paid) | Goal: Increase gamification engagement • deepening engagement & retention | Theme/Hook: Scarcity/Limited time offer!. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-41C7CF29,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S7 (paid) | Goal: Increase gamification engagement • deepening engagement & retention | Theme/Hook: Scarcity/Shame-based urgency. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-9C52113F,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S7 (paid) | Goal: Increase gamification engagement • deepening engagement & retention | Theme/Hook: Scarcity/Nan hook: Exclusive content. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-DF26B034,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S7 (paid) | Goal: Increase gamification engagement • deepening engagement & retention | Theme/Hook: Scarcity/Scarcity: Limited trial days. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-21705441,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S7 (paid) | Goal: Increase gamification engagement • deepening engagement & retention | Theme/Hook: Scarcity/Nan hook: Leaderboard. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-14122234,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S7 (churned) | Goal: Increase gamification engagement • re-engagement & recovering lost habits | Theme/Hook: Scarcity/Limited Time Offer. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-8B099893,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S7 (churned) | Goal: Increase gamification engagement • re-engagement & recovering lost habits | Theme/Hook: Scarcity/Shame-Based Urgency. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-B8237002,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S7 (churned) | Goal: Increase gamification engagement • re-engagement & recovering lost habits | Theme/Hook: Scarcity/Scarcity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-F2BD6D84,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S7 (churned) | Goal: Increase gamification engagement • re-engagement & recovering lost habits | Theme/Hook: Scarcity/Nan Hook. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-76732567,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S7 (churned) | Goal: Increase gamification engagement • re-engagement & recovering lost habits | Theme/Hook: Scarcity/Limited Trial Days. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-5BA7EB65,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S7 (trial) | Goal: Increase gamification engagement • rapid adoption & habit formation | Theme/Hook: Scarcity/Nan you're running low on trial days!. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-158447E3,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S7 (trial) | Goal: Increase gamification engagement • rapid adoption & habit formation | Theme/Hook: Scarcity/Challenge expiring soon!. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-B69312F4,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S7 (trial) | Goal: Increase gamification engagement • rapid adoption & habit formation | Theme/Hook: Scarcity/You're not alone!. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-327C19F4,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S7 (trial) | Goal: Increase gamification engagement • rapid adoption & habit formation | Theme/Hook: Scarcity/Don't let FOMO get the best of you!. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-405CA1FF,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S7 (trial) | Goal: Increase gamification engagement • rapid adoption & habit formation | Theme/Hook: Scarcity/Shame-based urgency: You're not doing enough!. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-FECAA28F,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S7 (inactive) | Goal: Increase gamification engagement • compelling return value proposition | Theme/Hook: Scarcity/Limited Time Offer!. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-1C7CEF7C,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S7 (inactive) | Goal: Increase gamification engagement • compelling return value proposition | Theme/Hook: Scarcity/Challenge Expiring Soon!. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-1108B0D7,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S7 (inactive) | Goal: Increase gamification engagement • compelling return value proposition | Theme/Hook: Scarcity/Shame-Based Urgency!. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-F593B0F0,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S7 (inactive) | Goal: Increase gamification engagement • compelling return value proposition | Theme/Hook: Scarcity/Limited Trial Days Left!. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-9DCBB941,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S7 (inactive) | Goal: Increase gamification engagement • compelling return value proposition | Theme/Hook: Scarcity/Nan's Warning!. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-FD17E31C,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S6 (paid) | Goal: Increase leaderboard engagement • deepening engagement & retention | Theme/Hook: Accomplishment/Building a healthier life identity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-4E8F547D,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S6 (paid) | Goal: Increase leaderboard engagement • deepening engagement & retention | Theme/Hook: Accomplishment/Recipe sharing. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-36C61B4E,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S6 (paid) | Goal: Increase leaderboard engagement • deepening engagement & retention | Theme/Hook: Accomplishment/Family plan milestones. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-E24E54A7,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S6 (paid) | Goal: Increase leaderboard engagement • deepening engagement & retention | Theme/Hook: Accomplishment/Building a healthier life identity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-229EA8AA,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S6 (paid) | Goal: Increase leaderboard engagement • deepening engagement & retention | Theme/Hook: Accomplishment/Recipe sharing. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-DD086ADC,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S6 (churned) | Goal: Increase leaderboard engagement • re-engagement & recovering lost habits | Theme/Hook: Accomplishment/Building a healthier life identity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-D6FB0D25,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S6 (churned) | Goal: Increase leaderboard engagement • re-engagement & recovering lost habits | Theme/Hook: Accomplishment/Recipe sharing. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-07FB7B13,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S6 (churned) | Goal: Increase leaderboard engagement • re-engagement & recovering lost habits | Theme/Hook: Accomplishment/Family plan milestones. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-B6007801,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S6 (churned) | Goal: Increase leaderboard engagement • re-engagement & recovering lost habits | Theme/Hook: Accomplishment/Building a healthier life identity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-A1235D2E,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S6 (churned) | Goal: Increase leaderboard engagement • re-engagement & recovering lost habits | Theme/Hook: Accomplishment/Recipe sharing. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-A1697B7A,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S6 (trial) | Goal: Increase leaderboard engagement • rapid adoption & habit formation | Theme/Hook: Accomplishment/Building a healthier life. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-5EB4D007,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S6 (trial) | Goal: Increase leaderboard engagement • rapid adoption & habit formation | Theme/Hook: Accomplishment/Milestone achieved!. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-34374AEB,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S6 (trial) | Goal: Increase leaderboard engagement • rapid adoption & habit formation | Theme/Hook: Accomplishment/Your habits are paying off. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-3D8CC8F1,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S6 (trial) | Goal: Increase leaderboard engagement • rapid adoption & habit formation | Theme/Hook: Accomplishment/You're part of a community. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-39377A63,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S6 (trial) | Goal: Increase leaderboard engagement • rapid adoption & habit formation | Theme/Hook: Accomplishment/Celebrate your wins. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-FEF961F4,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S6 (inactive) | Goal: Increase leaderboard engagement • compelling return value proposition | Theme/Hook: Accomplishment/Building a healthier life identity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-C9BF989A,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S6 (inactive) | Goal: Increase leaderboard engagement • compelling return value proposition | Theme/Hook: Accomplishment/Family plan milestones. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-01A8BF36,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S6 (inactive) | Goal: Increase leaderboard engagement • compelling return value proposition | Theme/Hook: Accomplishment/Recipe sharing. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-C5DD0E1D,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S6 (inactive) | Goal: Increase leaderboard engagement • compelling return value proposition | Theme/Hook: Accomplishment/Leaderboard engagement. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-E9D34494,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S6 (inactive) | Goal: Increase leaderboard engagement • compelling return value proposition | Theme/Hook: Accomplishment/Building a healthier life identity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-19EA73F4,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S5 (paid) | Goal: Increase ai_tutor engagement • deepening engagement & retention | Theme/Hook: Accomplishment/Log your progress. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-69430B11,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S5 (paid) | Goal: Increase ai_tutor engagement • deepening engagement & retention | Theme/Hook: Accomplishment/Don't let streaks slip away. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-4A685442,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S5 (paid) | Goal: Increase ai_tutor engagement • deepening engagement & retention | Theme/Hook: Accomplishment/Adjust for improvement. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-3BC36FA4,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S5 (paid) | Goal: Increase ai_tutor engagement • deepening engagement & retention | Theme/Hook: Accomplishment/You're close to a streak!. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-9BE892E3,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S5 (paid) | Goal: Increase ai_tutor engagement • deepening engagement & retention | Theme/Hook: Accomplishment/Celebrate small wins. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-C8A47E11,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S5 (churned) | Goal: Increase ai_tutor engagement • re-engagement & recovering lost habits | Theme/Hook: Accomplishment/Log your progress. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-6A2C88DA,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S5 (churned) | Goal: Increase ai_tutor engagement • re-engagement & recovering lost habits | Theme/Hook: Accomplishment/Missed goal alert. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-AECA7E64,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S5 (churned) | Goal: Increase ai_tutor engagement • re-engagement & recovering lost habits | Theme/Hook: Accomplishment/Streak reminder. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-C3852F7F,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S5 (churned) | Goal: Increase ai_tutor engagement • re-engagement & recovering lost habits | Theme/Hook: Accomplishment/Feedback & adjust. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-07A6933C,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S5 (churned) | Goal: Increase ai_tutor engagement • re-engagement & recovering lost habits | Theme/Hook: Accomplishment/Re-engagement. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-BFBD90D8,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S5 (trial) | Goal: Increase ai_tutor engagement • rapid adoption & habit formation | Theme/Hook: Accomplishment/Log your progress. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-8602934B,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S5 (trial) | Goal: Increase ai_tutor engagement • rapid adoption & habit formation | Theme/Hook: Accomplishment/Missed goal alert. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-C13E45BF,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S5 (trial) | Goal: Increase ai_tutor engagement • rapid adoption & habit formation | Theme/Hook: Accomplishment/Adjust to success. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-6604D383,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S5 (trial) | Goal: Increase ai_tutor engagement • rapid adoption & habit formation | Theme/Hook: Accomplishment/Streaks are yours. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-79F8A53D,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S5 (trial) | Goal: Increase ai_tutor engagement • rapid adoption & habit formation | Theme/Hook: Accomplishment/Rapid adoption. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-A4775AF6,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S5 (inactive) | Goal: Increase ai_tutor engagement • compelling return value proposition | Theme/Hook: Accomplishment/Log your progress. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-4F6F5402,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S5 (inactive) | Goal: Increase ai_tutor engagement • compelling return value proposition | Theme/Hook: Accomplishment/Missing your goal. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-B3AA02B9,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S5 (inactive) | Goal: Increase ai_tutor engagement • compelling return value proposition | Theme/Hook: Accomplishment/Get feedback. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-42624B01,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S5 (inactive) | Goal: Increase ai_tutor engagement • compelling return value proposition | Theme/Hook: Accomplishment/Adjust and improve. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-0C227CF9,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S5 (inactive) | Goal: Increase ai_tutor engagement • compelling return value proposition | Theme/Hook: Accomplishment/Reclaim your streak. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-BD47CFC0,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S9 (paid) | Goal: Increase leaderboard engagement • deepening engagement & retention | Theme/Hook: Ownership/Limited Trial Days Left. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-731B91B5,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S9 (paid) | Goal: Increase leaderboard engagement • deepening engagement & retention | Theme/Hook: Ownership/Your Progress Matters. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-1A1B149D,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),"Segment S9 (paid) | Goal: Increase leaderboard engagement • deepening engagement & retention | Theme/Hook: Ownership/Get Feedback, Level Up. No experiment exposure yet — kept active for future A/B testing."
Template — Content,TPL-E5237216,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S9 (paid) | Goal: Increase leaderboard engagement • deepening engagement & retention | Theme/Hook: Ownership/Challenge Accepted!. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-B27237A5,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S9 (paid) | Goal: Increase leaderboard engagement • deepening engagement & retention | Theme/Hook: Ownership/Your Time's Running Out. No experiment exposure yet — kept active for future A/B testing.
