template_id,segment_id,lifecycle_stage,goal,theme,hook_used,feature_reference,content_english,content_hindi
TPL-136681AE,S1,inactive,Motivation → session frequency • compelling return value proposition,Core Drive 2: Accomplishment,FOMO,XP Boost,[S1 - INACTIVE] Mock message 1 focusing on Core Drive 2.,[S1 - INACTIVE] डमी संदेश 1 (Core Drive 2).
TPL-C1122E2C,S1,inactive,Motivation → session frequency • compelling return value proposition,Core Drive 2: Accomplishment,Social Proof,Daily Streak,[S1 - INACTIVE] Mock message 2 focusing on Core Drive 2.,[S1 - INACTIVE] डमी संदेश 2 (Core Drive 2).
TPL-F06D6CB8,S1,inactive,Motivation → session frequency • compelling return value proposition,Core Drive 2: Accomplishment,Mastery,Progress Dashboard,[S1 - INACTIVE] Mock message 3 focusing on Core Drive 2.,[S1 - INACTIVE] डमी संदेश 3 (Core Drive 2).
TPL-06F3573D,S1,inactive,Motivation → session frequency • compelling return value proposition,Core Drive 2: Accomplishment,FOMO,Roleplay,[S1 - INACTIVE] Mock message 4 focusing on Core Drive 2.,[S1 - INACTIVE] डमी संदेश 4 (Core Drive 2).
TPL-F2684ACC,S1,inactive,Motivation → session frequency • compelling return value proposition,Core Drive 2: Accomplishment,Mastery,XP Boost,[S1 - INACTIVE] Mock message 5 focusing on Core Drive 2.,[S1 - INACTIVE] डमी संदेश 5 (Core Drive 2).
TPL-4A679023,S2,trial,Personalization → Engagement • rapid adoption & habit formation,Core Drive 3: Empowerment,Loss Aversion,Progress Dashboard,[S2 - TRIAL] Mock message 1 focusing on Core Drive 3.,[S2 - TRIAL] डमी संदेश 1 (Core Drive 3).
TPL-BFEB34CF,S2,trial,Personalization → Engagement • rapid adoption & habit formation,Core Drive 3: Empowerment,Loss Aversion,AI Tutor,[S2 - TRIAL] Mock message 2 focusing on Core Drive 3.,[S2 - TRIAL] डमी संदेश 2 (Core Drive 3).
TPL-C186CFDA,S2,trial,Personalization → Engagement • rapid adoption & habit formation,Core Drive 3: Empowerment,Status,Progress Dashboard,[S2 - TRIAL] Mock message 3 focusing on Core Drive 3.,[S2 - TRIAL] डमी संदेश 3 (Core Drive 3).
TPL-6D57AD36,S2,trial,Personalization → Engagement • rapid adoption & habit formation,Core Drive 3: Empowerment,Loss Aversion,Leaderboard,[S2 - TRIAL] Mock message 4 focusing on Core Drive 3.,[S2 - TRIAL] डमी संदेश 4 (Core Drive 3).
TPL-C6085E1D,S2,trial,Personalization → Engagement • rapid adoption & habit formation,Core Drive 3: Empowerment,Status,Progress Dashboard,[S2 - TRIAL] Mock message 5 focusing on Core Drive 3.,[S2 - TRIAL] डमी संदेश 5 (Core Drive 3).
TPL-B07176E4,S2,paid,Personalization → Engagement • deepening engagement & retention,Core Drive 3: Empowerment,FOMO,AI Tutor,[S2 - PAID] Mock message 1 focusing on Core Drive 3.,[S2 - PAID] डमी संदेश 1 (Core Drive 3).
TPL-5D70F530,S2,paid,Personalization → Engagement • deepening engagement & retention,Core Drive 3: Empowerment,Urgency,Progress Dashboard,[S2 - PAID] Mock message 2 focusing on Core Drive 3.,[S2 - PAID] डमी संदेश 2 (Core Drive 3).
TPL-98154DBC,S2,paid,Personalization → Engagement • deepening engagement & retention,Core Drive 3: Empowerment,Status,XP Boost,[S2 - PAID] Mock message 3 focusing on Core Drive 3.,[S2 - PAID] डमी संदेश 3 (Core Drive 3).
TPL-3AB459CD,S2,paid,Personalization → Engagement • deepening engagement & retention,Core Drive 3: Empowerment,FOMO,XP Boost,[S2 - PAID] Mock message 4 focusing on Core Drive 3.,[S2 - PAID] डमी संदेश 4 (Core Drive 3).
TPL-DCB0D870,S2,paid,Personalization → Engagement • deepening engagement & retention,Core Drive 3: Empowerment,Urgency,Leaderboard,[S2 - PAID] Mock message 5 focusing on Core Drive 3.,[S2 - PAID] डमी संदेश 5 (Core Drive 3).
TPL-EAC90AD4,S2,churned,Personalization → Engagement • re-engagement & recovering lost habits,Core Drive 3: Empowerment,Urgency,Roleplay,[S2 - CHURNED] Mock message 1 focusing on Core Drive 3.,[S2 - CHURNED] डमी संदेश 1 (Core Drive 3).
TPL-78B46E53,S2,churned,Personalization → Engagement • re-engagement & recovering lost habits,Core Drive 3: Empowerment,FOMO,XP Boost,[S2 - CHURNED] Mock message 2 focusing on Core Drive 3.,[S2 - CHURNED] डमी संदेश 2 (Core Drive 3).
TPL-82CC4A93,S2,churned,Personalization → Engagement • re-engagement & recovering lost habits,Core Drive 3: Empowerment,Social Proof,Progress Dashboard,[S2 - CHURNED] Mock message 3 focusing on Core Drive 3.,[S2 - CHURNED] डमी संदेश 3 (Core Drive 3).
TPL-3E8D6D1B,S2,churned,Personalization → Engagement • re-engagement & recovering lost habits,Core Drive 3: Empowerment,FOMO,Leaderboard,[S2 - CHURNED] Mock message 4 focusing on Core Drive 3.,[S2 - CHURNED] डमी संदेश 4 (Core Drive 3).
TPL-2A645C6E,S2,churned,Personalization → Engagement • re-engagement & recovering lost habits,Core Drive 3: Empowerment,Urgency,AI Tutor,[S2 - CHURNED] Mock message 5 focusing on Core Drive 3.,[S2 - CHURNED] डमी संदेश 5 (Core Drive 3).
TPL-C45CBA73,S2,inactive,Personalization → Engagement • compelling return value proposition,Core Drive 3: Empowerment,Mastery,Leaderboard,[S2 - INACTIVE] Mock message 1 focusing on Core Drive 3.,[S2 - INACTIVE] डमी संदेश 1 (Core Drive 3).
TPL-D11EDC8F,S2,inactive,Personalization → Engagement • compelling return value proposition,Core Drive 3: Empowerment,Mastery,AI Tutor,[S2 - INACTIVE] Mock message 2 focusing on Core Drive 3.,[S2 - INACTIVE] डमी संदेश 2 (Core Drive 3).
TPL-C66DECC2,S2,inactive,Personalization → Engagement • compelling return value proposition,Core Drive 3: Empowerment,Mastery,Progress Dashboard,[S2 - INACTIVE] Mock message 3 focusing on Core Drive 3.,[S2 - INACTIVE] डमी संदेश 3 (Core Drive 3).
TPL-B1F3D89D,S2,inactive,Personalization → Engagement • compelling return value proposition,Core Drive 3: Empowerment,Loss Aversion,Daily Streak,[S2 - INACTIVE] Mock message 4 focusing on Core Drive 3.,[S2 - INACTIVE] डमी संदेश 4 (Core Drive 3).
TPL-FFB69F00,S2,inactive,Personalization → Engagement • compelling return value proposition,Core Drive 3: Empowerment,Loss Aversion,Progress Dashboard,[S2 - INACTIVE] Mock message 5 focusing on Core Drive 3.,[S2 - INACTIVE] डमी संदेश 5 (Core Drive 3).
TPL-3D361CB0,S3,trial,Identity → retention • rapid adoption & habit formation,Core Drive 5: Social Influence,Urgency,AI Tutor,[S3 - TRIAL] Mock message 1 focusing on Core Drive 5.,[S3 - TRIAL] डमी संदेश 1 (Core Drive 5).
TPL-F7DF34EB,S3,trial,Identity → retention • rapid adoption & habit formation,Core Drive 5: Social Influence,Urgency,Progress Dashboard,[S3 - TRIAL] Mock message 2 focusing on Core Drive 5.,[S3 - TRIAL] डमी संदेश 2 (Core Drive 5).
TPL-F17207FD,S3,trial,Identity → retention • rapid adoption & habit formation,Core Drive 5: Social Influence,Social Proof,AI Tutor,[S3 - TRIAL] Mock message 3 focusing on Core Drive 5.,[S3 - TRIAL] डमी संदेश 3 (Core Drive 5).
TPL-45DE1E17,S3,trial,Identity → retention • rapid adoption & habit formation,Core Drive 5: Social Influence,Mastery,Daily Streak,[S3 - TRIAL] Mock message 4 focusing on Core Drive 5.,[S3 - TRIAL] डमी संदेश 4 (Core Drive 5).
TPL-826EF42B,S3,trial,Identity → retention • rapid adoption & habit formation,Core Drive 5: Social Influence,Status,Daily Streak,[S3 - TRIAL] Mock message 5 focusing on Core Drive 5.,[S3 - TRIAL] डमी संदेश 5 (Core Drive 5).
TPL-7C6DA82E,S3,paid,Identity → retention • deepening engagement & retention,Core Drive 5: Social Influence,Status,Progress Dashboard,[S3 - PAID] Mock message 1 focusing on Core Drive 5.,[S3 - PAID] डमी संदेश 1 (Core Drive 5).
TPL-4C8946A4,S3,paid,Identity → retention • deepening engagement & retention,Core Drive 5: Social Influence,Curiosity,Leaderboard,[S3 - PAID] Mock message 2 focusing on Core Drive 5.,[S3 - PAID] डमी संदेश 2 (Core Drive 5).
TPL-935192C8,S3,paid,Identity → retention • deepening engagement & retention,Core Drive 5: Social Influence,FOMO,Daily Streak,[S3 - PAID] Mock message 3 focusing on Core Drive 5.,[S3 - PAID] डमी संदेश 3 (Core Drive 5).
TPL-F57888D5,S3,paid,Identity → retention • deepening engagement & retention,Core Drive 5: Social Influence,Curiosity,Daily Streak,[S3 - PAID] Mock message 4 focusing on Core Drive 5.,[S3 - PAID] डमी संदेश 4 (Core Drive 5).
TPL-D819986B,S3,paid,Identity → retention • deepening engagement & retention,Core Drive 5: Social Influence,Curiosity,Leaderboard,[S3 - PAID] Mock message 5 focusing on Core Drive 5.,[S3 - PAID] डमी संदेश 5 (Core Drive 5).
TPL-E7E23E9F,S3,churned,Identity → retention • re-engagement & recovering lost habits,Core Drive 5: Social Influence,Loss Aversion,Daily Streak,[S3 - CHURNED] Mock message 1 focusing on Core Drive 5.,[S3 - CHURNED] डमी संदेश 1 (Core Drive 5).
TPL-872241C5,S3,churned,Identity → retention • re-engagement & recovering lost habits,Core Drive 5: Social Influence,FOMO,AI Tutor,[S3 - CHURNED] Mock message 2 focusing on Core Drive 5.,[S3 - CHURNED] डमी संदेश 2 (Core Drive 5).
TPL-B51B3541,S3,churned,Identity → retention • re-engagement & recovering lost habits,Core Drive 5: Social Influence,Social Proof,Roleplay,[S3 - CHURNED] Mock message 3 focusing on Core Drive 5.,[S3 - CHURNED] डमी संदेश 3 (Core Drive 5).
TPL-DA876ECE,S3,churned,Identity → retention • re-engagement & recovering lost habits,Core Drive 5: Social Influence,Social Proof,AI Tutor,[S3 - CHURNED] Mock message 4 focusing on Core Drive 5.,[S3 - CHURNED] डमी संदेश 4 (Core Drive 5).
TPL-76D1DF61,S3,churned,Identity → retention • re-engagement & recovering lost habits,Core Drive 5: Social Influence,Social Proof,AI Tutor,[S3 - CHURNED] Mock message 5 focusing on Core Drive 5.,[S3 - CHURNED] डमी संदेश 5 (Core Drive 5).
TPL-8CBBE0CB,S3,inactive,Identity → retention • compelling return value proposition,Core Drive 5: Social Influence,Curiosity,AI Tutor,[S3 - INACTIVE] Mock message 1 focusing on Core Drive 5.,[S3 - INACTIVE] डमी संदेश 1 (Core Drive 5).
TPL-AE14C3A7,S3,inactive,Identity → retention • compelling return value proposition,Core Drive 5: Social Influence,Status,Daily Streak,[S3 - INACTIVE] Mock message 2 focusing on Core Drive 5.,[S3 - INACTIVE] डमी संदेश 2 (Core Drive 5).
TPL-1B378C1F,S3,inactive,Identity → retention • compelling return value proposition,Core Drive 5: Social Influence,Urgency,Roleplay,[S3 - INACTIVE] Mock message 3 focusing on Core Drive 5.,[S3 - INACTIVE] डमी संदेश 3 (Core Drive 5).
TPL-5B9DA91A,S3,inactive,Identity → retention • compelling return value proposition,Core Drive 5: Social Influence,Urgency,Leaderboard,[S3 - INACTIVE] Mock message 4 focusing on Core Drive 5.,[S3 - INACTIVE] डमी संदेश 4 (Core Drive 5).
TPL-7CB51DED,S3,inactive,Identity → retention • compelling return value proposition,Core Drive 5: Social Influence,Social Proof,XP Boost,[S3 - INACTIVE] Mock message 5 focusing on Core Drive 5.,[S3 - INACTIVE] डमी संदेश 5 (Core Drive 5).
TPL-A447906E,S4,trial,Motivation → session frequency • rapid adoption & habit formation,Core Drive 7: Unpredictability,Mastery,AI Tutor,[S4 - TRIAL] Mock message 1 focusing on Core Drive 7.,[S4 - TRIAL] डमी संदेश 1 (Core Drive 7).
TPL-F528249E,S4,trial,Motivation → session frequency • rapid adoption & habit formation,Core Drive 7: Unpredictability,Social Proof,Progress Dashboard,[S4 - TRIAL] Mock message 2 focusing on Core Drive 7.,[S4 - TRIAL] डमी संदेश 2 (Core Drive 7).
TPL-523D7835,S4,trial,Motivation → session frequency • rapid adoption & habit formation,Core Drive 7: Unpredictability,Curiosity,Daily Streak,[S4 - TRIAL] Mock message 3 focusing on Core Drive 7.,[S4 - TRIAL] डमी संदेश 3 (Core Drive 7).
TPL-63ED9D68,S4,trial,Motivation → session frequency • rapid adoption & habit formation,Core Drive 7: Unpredictability,Loss Aversion,Progress Dashboard,[S4 - TRIAL] Mock message 4 focusing on Core Drive 7.,[S4 - TRIAL] डमी संदेश 4 (Core Drive 7).
TPL-B547EE05,S4,trial,Motivation → session frequency • rapid adoption & habit formation,Core Drive 7: Unpredictability,Curiosity,Progress Dashboard,[S4 - TRIAL] Mock message 5 focusing on Core Drive 7.,[S4 - TRIAL] डमी संदेश 5 (Core Drive 7).
TPL-61347F7D,S4,paid,Motivation → session frequency • deepening engagement & retention,Core Drive 7: Unpredictability,Status,Progress Dashboard,[S4 - PAID] Mock message 1 focusing on Core Drive 7.,[S4 - PAID] डमी संदेश 1 (Core Drive 7).
TPL-5A408880,S4,paid,Motivation → session frequency • deepening engagement & retention,Core Drive 7: Unpredictability,FOMO,Daily Streak,[S4 - PAID] Mock message 2 focusing on Core Drive 7.,[S4 - PAID] डमी संदेश 2 (Core Drive 7).
TPL-2EBB8D3E,S4,paid,Motivation → session frequency • deepening engagement & retention,Core Drive 7: Unpredictability,Urgency,Leaderboard,[S4 - PAID] Mock message 3 focusing on Core Drive 7.,[S4 - PAID] डमी संदेश 3 (Core Drive 7).
TPL-C76B9E5F,S4,paid,Motivation → session frequency • deepening engagement & retention,Core Drive 7: Unpredictability,Mastery,Leaderboard,[S4 - PAID] Mock message 4 focusing on Core Drive 7.,[S4 - PAID] डमी संदेश 4 (Core Drive 7).
TPL-18FAD721,S4,paid,Motivation → session frequency • deepening engagement & retention,Core Drive 7: Unpredictability,Social Proof,AI Tutor,[S4 - PAID] Mock message 5 focusing on Core Drive 7.,[S4 - PAID] डमी संदेश 5 (Core Drive 7).
TPL-E716BBAF,S4,churned,Motivation → session frequency • re-engagement & recovering lost habits,Core Drive 7: Unpredictability,Mastery,Progress Dashboard,[S4 - CHURNED] Mock message 1 focusing on Core Drive 7.,[S4 - CHURNED] डमी संदेश 1 (Core Drive 7).
TPL-BCB1A521,S4,churned,Motivation → session frequency • re-engagement & recovering lost habits,Core Drive 7: Unpredictability,Loss Aversion,Daily Streak,[S4 - CHURNED] Mock message 2 focusing on Core Drive 7.,[S4 - CHURNED] डमी संदेश 2 (Core Drive 7).
TPL-A81647D6,S4,churned,Motivation → session frequency • re-engagement & recovering lost habits,Core Drive 7: Unpredictability,Mastery,AI Tutor,[S4 - CHURNED] Mock message 3 focusing on Core Drive 7.,[S4 - CHURNED] डमी संदेश 3 (Core Drive 7).
TPL-45071F74,S4,churned,Motivation → session frequency • re-engagement & recovering lost habits,Core Drive 7: Unpredictability,Urgency,Daily Streak,[S4 - CHURNED] Mock message 4 focusing on Core Drive 7.,[S4 - CHURNED] डमी संदेश 4 (Core Drive 7).
TPL-9B23B33C,S4,churned,Motivation → session frequency • re-engagement & recovering lost habits,Core Drive 7: Unpredictability,Mastery,Progress Dashboard,[S4 - CHURNED] Mock message 5 focusing on Core Drive 7.,[S4 - CHURNED] डमी संदेश 5 (Core Drive 7).
TPL-4FDBBCAA,S4,inactive,Motivation → session frequency • compelling return value proposition,Core Drive 7: Unpredictability,Loss Aversion,Roleplay,[S4 - INACTIVE] Mock message 1 focusing on Core Drive 7.,[S4 - INACTIVE] डमी संदेश 1 (Core Drive 7).
TPL-953C2765,S4,inactive,Motivation → session frequency • compelling return value proposition,Core Drive 7: Unpredictability,Curiosity,Progress Dashboard,[S4 - INACTIVE] Mock message 2 focusing on Core Drive 7.,[S4 - INACTIVE] डमी संदेश 2 (Core Drive 7).
TPL-8D55D08B,S4,inactive,Motivation → session frequency • compelling return value proposition,Core Drive 7: Unpredictability,Mastery,AI Tutor,[S4 - INACTIVE] Mock message 3 focusing on Core Drive 7.,[S4 - INACTIVE] डमी संदेश 3 (Core Drive 7).
TPL-5ADE0394,S4,inactive,Motivation → session frequency • compelling return value proposition,Core Drive 7: Unpredictability,Loss Aversion,Progress Dashboard,[S4 - INACTIVE] Mock message 4 focusing on Core Drive 7.,[S4 - INACTIVE] डमी संदेश 4 (Core Drive 7).
TPL-1A859F79,S4,inactive,Motivation → session frequency • compelling return value proposition,Core Drive 7: Unpredictability,Social Proof,XP Boost,[S4 - INACTIVE] Mock message 5 focusing on Core Drive 7.,[S4 - INACTIVE] डमी संदेश 5 (Core Drive 7).
TPL-F5FB7EB9,S5,trial,Personalization → Engagement • rapid adoption & habit formation,Core Drive 3: Empowerment,FOMO,XP Boost,[S5 - TRIAL] Mock message 1 focusing on Core Drive 3.,[S5 - TRIAL] डमी संदेश 1 (Core Drive 3).
TPL-66105C1A,S5,trial,Personalization → Engagement • rapid adoption & habit formation,Core Drive 3: Empowerment,FOMO,AI Tutor,[S5 - TRIAL] Mock message 2 focusing on Core Drive 3.,[S5 - TRIAL] डमी संदेश 2 (Core Drive 3).
TPL-16478A87,S5,trial,Personalization → Engagement • rapid adoption & habit formation,Core Drive 3: Empowerment,Mastery,Progress Dashboard,[S5 - TRIAL] Mock message 3 focusing on Core Drive 3.,[S5 - TRIAL] डमी संदेश 3 (Core Drive 3).
TPL-F294D3AE,S5,trial,Personalization → Engagement • rapid adoption & habit formation,Core Drive 3: Empowerment,FOMO,Leaderboard,[S5 - TRIAL] Mock message 4 focusing on Core Drive 3.,[S5 - TRIAL] डमी संदेश 4 (Core Drive 3).
TPL-65D7570C,S5,trial,Personalization → Engagement • rapid adoption & habit formation,Core Drive 3: Empowerment,Loss Aversion,Leaderboard,[S5 - TRIAL] Mock message 5 focusing on Core Drive 3.,[S5 - TRIAL] डमी संदेश 5 (Core Drive 3).
TPL-4AEF0CA8,S5,paid,Personalization → Engagement • deepening engagement & retention,Core Drive 3: Empowerment,FOMO,AI Tutor,[S5 - PAID] Mock message 1 focusing on Core Drive 3.,[S5 - PAID] डमी संदेश 1 (Core Drive 3).
TPL-D8568063,S5,paid,Personalization → Engagement • deepening engagement & retention,Core Drive 3: Empowerment,Status,XP Boost,[S5 - PAID] Mock message 2 focusing on Core Drive 3.,[S5 - PAID] डमी संदेश 2 (Core Drive 3).
TPL-933C473B,S5,paid,Personalization → Engagement • deepening engagement & retention,Core Drive 3: Empowerment,Social Proof,AI Tutor,[S5 - PAID] Mock message 3 focusing on Core Drive 3.,[S5 - PAID] डमी संदेश 3 (Core Drive 3).
TPL-602BF781,S5,paid,Personalization → Engagement • deepening engagement & retention,Core Drive 3: Empowerment,FOMO,XP Boost,[S5 - PAID] Mock message 4 focusing on Core Drive 3.,[S5 - PAID] डमी संदेश 4 (Core Drive 3).
TPL-2C29D6E9,S5,paid,Personalization → Engagement • deepening engagement & retention,Core Drive 3: Empowerment,FOMO,Roleplay,[S5 - PAID] Mock message 5 focusing on Core Drive 3.,[S5 - PAID] डमी संदेश 5 (Core Drive 3).
TPL-6A8F2E85,S5,churned,Personalization → Engagement • re-engagement & recovering lost habits,Core Drive 3: Empowerment,Loss Aversion,XP Boost,[S5 - CHURNED] Mock message 1 focusing on Core Drive 3.,[S5 - CHURNED] डमी संदेश 1 (Core Drive 3).
TPL-0977376F,S5,churned,Personalization → Engagement • re-engagement & recovering lost habits,Core Drive 3: Empowerment,Urgency,Roleplay,[S5 - CHURNED] Mock message 2 focusing on Core Drive 3.,[S5 - CHURNED] डमी संदेश 2 (Core Drive 3).
TPL-D36C8DC6,S5,churned,Personalization → Engagement • re-engagement & recovering lost habits,Core Drive 3: Empowerment,Loss Aversion,Roleplay,[S5 - CHURNED] Mock message 3 focusing on Core Drive 3.,[S5 - CHURNED] डमी संदेश 3 (Core Drive 3).
TPL-E9E9B9F3,S5,churned,Personalization → Engagement • re-engagement & recovering lost habits,Core Drive 3: Empowerment,Mastery,Roleplay,[S5 - CHURNED] Mock message 4 focusing on Core Drive 3.,[S5 - CHURNED] डमी संदेश 4 (Core Drive 3).
TPL-D1088D4F,S5,churned,Personalization → Engagement • re-engagement & recovering lost habits,Core Drive 3: Empowerment,Urgency,Daily Streak,[S5 - CHURNED] Mock message 5 focusing on Core Drive 3.,[S5 - CHURNED] डमी संदेश 5 (Core Drive 3).
TPL-A11E1482,S5,inactive,Personalization → Engagement • compelling return value proposition,Core Drive 3: Empowerment,FOMO,Roleplay,[S5 - INACTIVE] Mock message 1 focusing on Core Drive 3.,[S5 - INACTIVE] डमी संदेश 1 (Core Drive 3).
TPL-F645C8B6,S5,inactive,Personalization → Engagement • compelling return value proposition,Core Drive 3: Empowerment,Urgency,Progress Dashboard,[S5 - INACTIVE] Mock message 2 focusing on Core Drive 3.,[S5 - INACTIVE] डमी संदेश 2 (Core Drive 3).
TPL-3039203D,S5,inactive,Personalization → Engagement • compelling return value proposition,Core Drive 3: Empowerment,Status,Daily Streak,[S5 - INACTIVE] Mock message 3 focusing on Core Drive 3.,[S5 - INACTIVE] डमी संदेश 3 (Core Drive 3).
TPL-8D37ED97,S5,inactive,Personalization → Engagement • compelling return value proposition,Core Drive 3: Empowerment,Curiosity,XP Boost,[S5 - INACTIVE] Mock message 4 focusing on Core Drive 3.,[S5 - INACTIVE] डमी संदेश 4 (Core Drive 3).
TPL-2AA85EBA,S5,inactive,Personalization → Engagement • compelling return value proposition,Core Drive 3: Empowerment,Curiosity,AI Tutor,[S5 - INACTIVE] Mock message 5 focusing on Core Drive 3.,[S5 - INACTIVE] डमी संदेश 5 (Core Drive 3).
TPL-78321BA7,S6,trial,Identity → retention • rapid adoption & habit formation,Core Drive 5: Social Influence,Urgency,XP Boost,[S6 - TRIAL] Mock message 1 focusing on Core Drive 5.,[S6 - TRIAL] डमी संदेश 1 (Core Drive 5).
TPL-B8E0DF8A,S6,trial,Identity → retention • rapid adoption & habit formation,Core Drive 5: Social Influence,Urgency,XP Boost,[S6 - TRIAL] Mock message 2 focusing on Core Drive 5.,[S6 - TRIAL] डमी संदेश 2 (Core Drive 5).
TPL-7DE822C0,S6,trial,Identity → retention • rapid adoption & habit formation,Core Drive 5: Social Influence,Status,Leaderboard,[S6 - TRIAL] Mock message 3 focusing on Core Drive 5.,[S6 - TRIAL] डमी संदेश 3 (Core Drive 5).
TPL-68661AEF,S6,trial,Identity → retention • rapid adoption & habit formation,Core Drive 5: Social Influence,FOMO,XP Boost,[S6 - TRIAL] Mock message 4 focusing on Core Drive 5.,[S6 - TRIAL] डमी संदेश 4 (Core Drive 5).
TPL-778F508A,S6,trial,Identity → retention • rapid adoption & habit formation,Core Drive 5: Social Influence,Mastery,XP Boost,[S6 - TRIAL] Mock message 5 focusing on Core Drive 5.,[S6 - TRIAL] डमी संदेश 5 (Core Drive 5).
TPL-38C5BD51,S6,paid,Identity → retention • deepening engagement & retention,Core Drive 5: Social Influence,Social Proof,XP Boost,[S6 - PAID] Mock message 1 focusing on Core Drive 5.,[S6 - PAID] डमी संदेश 1 (Core Drive 5).
TPL-17259471,S6,paid,Identity → retention • deepening engagement & retention,Core Drive 5: Social Influence,Social Proof,Daily Streak,[S6 - PAID] Mock message 2 focusing on Core Drive 5.,[S6 - PAID] डमी संदेश 2 (Core Drive 5).
TPL-7605BA62,S6,paid,Identity → retention • deepening engagement & retention,Core Drive 5: Social Influence,Mastery,Roleplay,[S6 - PAID] Mock message 3 focusing on Core Drive 5.,[S6 - PAID] डमी संदेश 3 (Core Drive 5).
TPL-4156B737,S6,paid,Identity → retention • deepening engagement & retention,Core Drive 5: Social Influence,FOMO,Daily Streak,[S6 - PAID] Mock message 4 focusing on Core Drive 5.,[S6 - PAID] डमी संदेश 4 (Core Drive 5).
TPL-2E6917EC,S6,paid,Identity → retention • deepening engagement & retention,Core Drive 5: Social Influence,Loss Aversion,Leaderboard,[S6 - PAID] Mock message 5 focusing on Core Drive 5.,[S6 - PAID] डमी संदेश 5 (Core Drive 5).
