template_id,segment_id,lifecycle_stage,goal,theme,hook_used,feature_reference,content_english,content_hindi,ctr_percent,engagement_percent,performance_class,performance_tag,is_active,weight_multiplier,selection_weight
TPL-AC883535,S1,churned,Habit formation → retention • re-engagement & recovering lost habits,Core Drive 2: Accomplishment,Social Proof,Daily Streak,You're not alone! Our users have been speaking for 30 days straight. Join the streak and feel the accomplishment!,आपके साथ ही कई लोग बातचीत कर रहे हैं! 30 दिनों से लगातार बातचीत करने वाले हमारे उपयोगकर्ताओं ने अपनी सफलता का अनुभव किया है। अपने स्ट्रीक में शामिल हों और अपनी उपलब्धि का अनुभव करें!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-40D5E18B,S1,churned,Habit formation → retention • re-engagement & recovering lost habits,Core Drive 2: Accomplishment,Personalization,Personalized Lessons,You've been making progress on your English skills! Keep it up with our personalized lessons and celebrate your accomplishments.,आपकी अंग्रेजी कौशल में सुधार हो रहा है! अपनी प्रगति को बनाए रखने के लिए हमारी व्यक्तिगत पाठ्यक्रमों का लाभ उठाएं और अपनी उपलब्धियों का जश्न मनाएं!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-51DA9859,S1,churned,Habit formation → retention • re-engagement & recovering lost habits,Core Drive 2: Accomplishment,Scarcity,Exclusive Content,Limited time offer! Unlock exclusive content and boost your speaking skills with our special deal. Don't miss out!,सीमित समय का प्रस्ताव! विशेष विशेषता के साथ विशेष सामग्री को खुलासा करें और अपनी बातचीत कौशल को बढ़ाएं। इस मौके को नहीं छोड़ें!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-0C6347A6,S1,churned,Habit formation → retention • re-engagement & recovering lost habits,Core Drive 2: Accomplishment,Curiosity,New Features,What's new in our app? Discover our latest features and take your speaking skills to the next level!,हमारे ऐप में क्या नया है? नई विशेषताओं का अन्वेषण करें और अपनी बातचीत कौशल को अगले स्तर पर ले जाएं!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-C1566DC7,S1,churned,Habit formation → retention • re-engagement & recovering lost habits,Core Drive 2: Accomplishment,Social Connection,Language Exchange,Find a language partner and practice your speaking skills with someone new. Join our community and make new friends!,एक भाषा साथी खोजें और अपनी बातचीत कौशल को किसी नए व्यक्ति के साथ अभ्यास करें। हमारी समुदाय में शामिल हों और नए दोस्त बनाएं!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-E1DFEAE1,S1,inactive,Habit formation → retention • compelling return value proposition,Core Drive 2: Accomplishment,Sense of Accomplishment,Daily Streak,You're just 1 minute away from your daily speaking goal! Keep the streak going and unlock new words to learn.,आप अपने दैनिक बोलने के लक्ष्य को हासिल करने के लिए बस 1 मिनट दूर हैं! स्ट्रीक को बनाए रखने से नए शब्द सीखने के लिए नई संभावनाएं खुल जाएंगी।,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-0F3ACA73,S1,inactive,Habit formation → retention • compelling return value proposition,Core Drive 2: Accomplishment,Social Proof,Leaderboard,You're not alone! Thousands of learners like you have achieved their daily speaking goals. Join the ranks and see your progress on our leaderboard.,आप अकेले नहीं हैं! हजारों सीखने वालों जैसे आप अपने दैनिक बोलने के लक्ष्य को हासिल कर चुके हैं। अपने प्रगति को देखें और हमारे लीडरबोर्ड पर अपनी जगह बनाएं।,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-F47774FF,S1,inactive,Habit formation → retention • compelling return value proposition,Core Drive 2: Accomplishment,Curiosity,New Words,What's new in the world of English? Unlock new words and phrases to improve your speaking skills and sound more confident.,अंग्रेजी के नए दुनिया में क्या हुआ? नए शब्द और वाक्यांशों को खुलासा करें और अपने बोलने कौशल को सुधारें और अधिक आत्मविश्वास महसूस करें।,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-1E209B7F,S1,inactive,Habit formation → retention • compelling return value proposition,Core Drive 2: Accomplishment,Urgency,Daily Challenge,Don't miss your daily challenge! Complete the speaking exercise within the next 10 minutes and earn rewards.,अपने दैनिक चुनौती को मिस न करें! अगले 10 मिनट में बोलने का अभ्यास करें और पुरस्कार प्राप्त करें।,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-D6E14FCC,S1,inactive,Habit formation → retention • compelling return value proposition,Core Drive 2: Accomplishment,Personalization,Customized Lessons,"Your speaking skills are improving! Take your progress to the next level with our customized lessons, tailored to your needs.",आपके बोलने कौशल में सुधार हो रहा है! अपनी आवश्यकताओं के अनुसार हमारे व्यक्तिगत अध्यायों का लाभ उठाएं और अपने प्रगति को अगले स्तर पर ले जाएं।,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-54F54C60,S2,trial,Engagement → MCC • rapid adoption & habit formation,Core Drive 3: Empowerment,Social proof,Daily Streak,You're part of a growing community! Keep your daily streak going and unlock new conversations!,आप एक बढ़ते समुदाय का हिस्सा बने रहें! दैनिक स्ट्रीक को बनाए रखें और नए विचारों को खोलें!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-28A2296C,S2,trial,Engagement → MCC • rapid adoption & habit formation,Core Drive 3: Empowerment,Personalization,Personalized Learning Paths,Your progress is being tracked! Stay on your learning path and reach new levels of fluency.,आपकी प्रगति ट्रैक की जा रही है! अपने सीखने के रास्ते पर रहें और नई स्तरों की ऊंचाइयों तक पहुंचें!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-F035E9B6,S2,trial,Engagement → MCC • rapid adoption & habit formation,Core Drive 3: Empowerment,Gamification,Badges and Rewards,Get your next badge! Complete your daily speaking practice and earn exclusive rewards.,अगले बैज की प्राप्ति के लिए तैयार रहें! दैनिक बोलते हुए अभ्यास पूरा करें और विशेष पुरस्कार प्राप्त करें!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-E017703C,S2,trial,Engagement → MCC • rapid adoption & habit formation,Core Drive 3: Empowerment,Sense of Accomplishment,Speaking Analytics,See how far you've come! Review your speaking analytics and celebrate your progress.,आपकी प्रगता को देखें! अपने बोलते हुए विश्लेषण को देखें और अपनी प्रगता का जश्न मनाएं!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-2963622F,S2,trial,Engagement → MCC • rapid adoption & habit formation,Core Drive 3: Empowerment,Curiosity,New Content Added,New content alert! Explore our latest lessons and take your speaking skills to the next level.,नया सामग्री की सूचना! हमारे नवीनतम शिक्षा कक्षाओं को खोजें और अपने बोलते हुए कौशल को अगले स्तर तक पहुंचाएं!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-F06B2A91,S2,paid,Engagement → MCC • deepening engagement & retention,Core Drive 3: Empowerment,Sense of Accomplishment,Daily Streak,You're on a roll! Keep your daily streak going and unlock new conversations!,आपकी दैनिक प्रगति जारी रखें और नए विचारों को खोलें!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-49FF6F2D,S2,paid,Engagement → MCC • deepening engagement & retention,Core Drive 3: Empowerment,Social Proof,Leaderboard,See how you rank among our top speakers! Boost your confidence and keep improving.,देखें कि आप हमारे शीर्ष बोलते हैं कैसे! अपनी आत्मविश्वास को बढ़ाएं और सुधार करें.,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-27E24099,S2,paid,Engagement → MCC • deepening engagement & retention,Core Drive 3: Empowerment,Personalization,Customized Learning Plans,Your customized learning plan is waiting for you! Dive into new topics and track your progress.,आपके लिए विशेष सीखने का योजना आपके लिए तैयार है! नए विषयों में गहराई से जानें और अपनी प्रगति की ट्रैक करें.,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-912F46AA,S2,paid,Engagement → MCC • deepening engagement & retention,Core Drive 3: Empowerment,Curiosity,New Conversations,Unlock new conversations and discover new perspectives! What will you learn today?,नए विचारों को खोलें और नए दृष्टिकोणों को खोजें! आज क्या सीखेंगे?,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-C677D6E0,S2,paid,Engagement → MCC • deepening engagement & retention,Core Drive 3: Empowerment,Empowerment,Speech Analytics,Analyze your speech and identify areas for improvement! Take control of your speaking skills and become a better speaker.,आपकी बातचीत का विश्लेषण करें और सुधार के क्षेत्रों की पहचान करें! अपनी बोलने की क्षमता पर नियंत्रण लें और एक बेहतर वक्ता बनें.,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-DC9B6F06,S2,churned,Engagement → MCC • re-engagement & recovering lost habits,Core Drive 3: Empowerment,Social proof,Daily Streak,You're not alone! Our community is still crushing their daily streaks. Join them and get back on track!,आपके साथ ही दिनचर्या बनाए रखने वाले लोगों की समुदाय अभी भी दैनिक स्ट्रीक बनाए हुए हैं। उनसे जुड़ें और अपनी दिनचर्या को फिर से शुरू करें!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-129F75E3,S2,churned,Engagement → MCC • re-engagement & recovering lost habits,Core Drive 3: Empowerment,Personalization,Personalized Learning Plans,Your progress is waiting for you! Review your personalized learning plans and get back to mastering new skills.,आपकी प्रगति आपके लिए तैयार है! अपने व्यक्तिगत सीखने के योजनाओं को देखें और नए कौशल को सीखने की प्रक्रिया में वापस आ जाएं.,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-EBDA0A15,S2,churned,Engagement → MCC • re-engagement & recovering lost habits,Core Drive 3: Empowerment,Gamification,Badges and Rewards,Get your badge back! Complete a few more lessons and earn your next reward. You're one step closer to empowerment!,आपका बैज फिर से प्राप्त करें! कुछ अध्यायों को पूरा करें और अगले पुरस्कार का लाभ उठाएं। आप अपने शक्ति की दिशा में एक कदम आगे बढ़ गए हैं!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-58C71BC1,S2,churned,Engagement → MCC • re-engagement & recovering lost habits,Core Drive 3: Empowerment,Empowerment,Customizable Learning Paths,Take control of your learning! Create a new learning path that suits your style and goals. You're the master of your own destiny.,अपनी सीखने की यात्रा पर नियंत्रण लें! अपनी पसंद के अनुसार एक नई सीखने की राह बनाएं और अपने लक्ष्यों को प्राप्त करें। आप अपने जीवन का मालिक हैं!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-B67A29B2,S2,churned,Engagement → MCC • re-engagement & recovering lost habits,Core Drive 3: Empowerment,Social connection,Discussion Forums,Join the conversation! Connect with fellow learners and get support from our community. You're not alone!,चैट में शामिल हों! अन्य सीखने वालों से जुड़ें और हमारे समुदाय से समर्थन प्राप्त करें। आप अकेले नहीं हैं!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-C6302B72,S2,inactive,Engagement → MCC • compelling return value proposition,Core Drive 3: Empowerment,Sense of Accomplishment,Daily Streak,Boost your streak and unlock new conversations! Get back on track with our engaging lessons.,अपनी दैनिक प्रगति बढ़ाएं और नए विचारों को खोलें! अपने संवाद को फिर से शुरू करें और हमारे आकर्षक पाठ्यक्रमों का आनंद लें.,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-7943AE5B,S2,inactive,Engagement → MCC • compelling return value proposition,Core Drive 3: Empowerment,Social Proof,Leaderboard,See how you rank and get motivated to improve! Join the top speakers and take your English skills to the next level.,देखें कि आप कैसे रैंक हैं और अपनी प्रतिभा को बढ़ाएं! शीर्ष बोलचाल करने वालों के साथ जुड़ें और अपनी अंग्रेजी कौशल को अगले स्तर पर ले जाएं.,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-7D2FA421,S2,inactive,Engagement → MCC • compelling return value proposition,Core Drive 3: Empowerment,Curiosity,New Content,Discover new conversations and topics! Explore our latest lessons and get ready to engage with native speakers.,नई बातचीत और विषयों का अन्वेषण करें! हमारे नवीनतम पाठ्यक्रमों का अनुभव करें और मूल बोलचाल करने वालों के साथ जुड़ने के लिए तैयार रहें.,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-99C93BE8,S2,inactive,Engagement → MCC • compelling return value proposition,Core Drive 3: Empowerment,Personalization,Customized Lessons,Get tailored lessons to fit your style! Our AI-powered system will help you improve your speaking skills in no time.,अपनी शैली के अनुसार व्यक्तिगत पाठ्यक्रम प्राप्त करें! हमारे AI-आधारित प्रणाली आपकी बोलचाल कौशल को जल्दी से सुधारने में मदद करेगी.,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-D75F1C2C,S2,inactive,Engagement → MCC • compelling return value proposition,Core Drive 3: Empowerment,Urgency,Limited Time Offer,Don't miss out! Limited time offer: Get 10% off on our premium subscription. Sign up now and start speaking like a native.,नहीं छोड़ दें! सीमित समय प्रस्ताव: हमारी प्रीमियम सUBSCRIPTION पर 10% की छूट! अब ही साइन अप करें और मूल बोलचाल करने की तरह बोलना सीखना शुरू करें.,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-0FACE438,S3,trial,Identity → retention • rapid adoption & habit formation,Core Drive 5: Social Influence,Social Proof,Leaderboard,You're not alone! Our community is growing fast. Join the top 10% and track your progress!,आपके साथ कई लोग जुड़ रहे हैं। हमारी समुदाय में तेजी से वृद्धि हो रही है। शीर्ष 10% में शामिल हों और अपनी प्रगति को ट्रैक करें!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-40072FD3,S3,trial,Identity → retention • rapid adoption & habit formation,Core Drive 5: Social Influence,Social Comparison,Daily Streak,How's your streak? Challenge yourself to beat your friends and become the ultimate English master!,आपकी स्ट्रीक कैसी है? अपने दोस्तों से चुनौती लें और अंतिम अंग्रेजी मास्टर बनें!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-75A19279,S3,trial,Identity → retention • rapid adoption & habit formation,Core Drive 5: Social Influence,Social Identity,Profile Badges,Earn your place in the English elite! Get your first badge and join the ranks of the language masters.,अंग्रेजी के शीर्ष वर्ग में अपनी जगह प्राप्त करें! अपना पहला बैज प्राप्त करें और भाषा मास्टर्स के समूह में शामिल हों!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-97938FCB,S3,trial,Identity → retention • rapid adoption & habit formation,Core Drive 5: Social Influence,Social Influence,Group Chat,Join the conversation and get inspired by fellow learners! Share your progress and learn from others.,चैट में शामिल हों और अन्य शिक्षार्थियों से प्रेरित हों! अपनी प्रगति साझा करें और अन्य लोगों से सीखें!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-7CC97997,S3,trial,Identity → retention • rapid adoption & habit formation,Core Drive 5: Social Influence,Social Recognition,Achievement Badges,Get recognized for your hard work! Earn badges for every milestone and become a part of our exclusive community.,अपने कड़ी मेहनत के लिए मान्यता प्राप्त करें! प्रत्येक मीलस्टोन के लिए बैज प्राप्त करें और हमारे विशेष समुदाय में शामिल हों!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-F94180D6,S3,paid,Identity → retention • deepening engagement & retention,Core Drive 5: Social Influence,Social proof,Leaderboard,You're part of an exclusive group! Check your leaderboard to see how you rank with fellow learners.,आप एक विशेष समूह का हिस्सा हैं! अपने बोर्ड की जाँच करें और देखें कि आप अन्य सीखने वालों के साथ कैसे तुलना करेंगे।,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-4332C62D,S3,paid,Identity → retention • deepening engagement & retention,Core Drive 5: Social Influence,Social interaction,Chat with native speakers,Want to improve your speaking skills? Join a conversation with a native speaker and get feedback on your pronunciation.,आपकी बोलती की गुणवत्ता में सुधार करना चाहते हैं? एक मूल भाषी से बातचीत में शामिल हों और अपनी उच्चारण की प्रतिक्रिया प्राप्त करें।,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-E0427708,S3,paid,Identity → retention • deepening engagement & retention,Core Drive 5: Social Influence,Social recognition,Badges and rewards,You've earned a new badge! Keep up the good work and unlock exclusive content.,आप एक नया बैज प्राप्त कर चुके हैं! अच्छी तरह से काम कर रहे हैं और एक्सक्लूसिव सामग्री को लॉक करें।,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-DB086134,S3,paid,Identity → retention • deepening engagement & retention,Core Drive 5: Social Influence,Social influence,Friendship challenges,Your friends are waiting for you! Join a friendship challenge and practice speaking with your friends.,आपके दोस्त आपका इंतजार कर रहे हैं! एक दोस्ती चैलेंज में शामिल हों और अपने दोस्तों के साथ बातचीत करें।,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-7D088CED,S3,paid,Identity → retention • deepening engagement & retention,Core Drive 5: Social Influence,Social identity,Community discussions,Join the conversation and connect with learners who share your interests! Explore topics and share your thoughts.,बातचीत में शामिल हों और उन लोगों के साथ जुड़ें जो आपके हितों को साझा करते हैं! विषयों की खोज करें और अपने विचार साझा करें।,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-C9359DEB,S3,churned,Identity → retention • re-engagement & recovering lost habits,Core Drive 5: Social Influence,Social Proof,Leaderboard,Your friends are speaking again! Join the conversation and climb the leaderboard!,दोस्तों की बातचीत फिर से शुरू हो रही है! बातचीत में शामिल होकर लीडरबोर्ड पर चढ़ें!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-32F52C44,S3,churned,Identity → retention • re-engagement & recovering lost habits,Core Drive 5: Social Influence,Social Comparison,Daily Streak,You're not alone! See how others are maintaining their daily streaks and get inspired to join them.,आप अकेले नहीं हैं! दैनिक स्ट्रीक को बनाए रखने वाले अन्य लोगों को देखें और उनसे प्रेरणा लें.,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-7D573A0B,S3,churned,Identity → retention • re-engagement & recovering lost habits,Core Drive 5: Social Influence,Social Identity,Community,Be part of a community that speaks English! Connect with like-minded individuals and improve your speaking skills.,अंग्रेजी बोलने वाले समुदाय में शामिल हों! समान विचारों वाले व्यक्तियों से जुड़ें और अपनी बोलने की कौशल को सुधारें.,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-3C6C838A,S3,churned,Identity → retention • re-engagement & recovering lost habits,Core Drive 5: Social Influence,Social Exclusion,Missed Conversations,Don't miss out on conversations! Catch up on missed conversations and get back into the flow.,बातचीत में शामिल होने का मौका न मिल जाए! मिस हुई बातचीत को फिर से शुरू करें और फ्लो में वापस आ जाएं.,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-BE0587C6,S3,churned,Identity → retention • re-engagement & recovering lost habits,Core Drive 5: Social Influence,Social Recognition,Badges,Earn badges for speaking and level up your skills! Get recognized for your efforts and stay motivated.,बोलने के लिए बैज प्राप्त करें और अपनी कौशल को स्तर बढ़ाएं! प्रयासों के लिए प्रतिष्ठित हों और प्रेरित रहें.,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-8D3D8731,S3,inactive,Identity → retention • compelling return value proposition,Core Drive 5: Social Influence,Social Proof,Leaderboard,You're not alone! Our community is growing fast! Join the conversation and track your progress with our leaderboard.,आपके साथ कई लोग जुड़ रहे हैं! हमारी समुदाय की गति तेज हो रही है! अपनी प्रगति को ट्रैक करें और हमारे लीडरबोर्ड में शामिल हों।,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-9DFD83DC,S3,inactive,Identity → retention • compelling return value proposition,Core Drive 5: Social Influence,Social Comparison,Daily Streak,How's your daily streak looking? Challenge yourself to reach the top of the leaderboard and earn rewards!,आपका दैनिक स्ट्रीक कैसा दिख रहा है? अपने स्ट्रीक को बढ़ाएं और लीडरबोर्ड के शीर्ष पर पहुंचें और पुरस्कार प्राप्त करें!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-7ACC649D,S3,inactive,Identity → retention • compelling return value proposition,Core Drive 5: Social Influence,Social Identity,Identity Badges,Show off your skills and earn identity badges! Join the ranks of our top learners and become a part of our community.,अपनी कौशल दिखाएं और पहचान बैज प्राप्त करें! हमारे शीर्ष सीखने वालों की श्रृंखला में शामिल हों और हमारी समुदाय में हिस्सा बनें!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-34B19BBA,S3,inactive,Identity → retention • compelling return value proposition,Core Drive 5: Social Influence,Social Exclusion,Friend System,Don't miss out on the fun! Invite friends to join and earn bonus points for a stronger connection.,नश्ता ना मिलें! दोस्तों को आमंत्रित करें और बोनस पॉइंट्स प्राप्त करें और अपनी संबंधों को मजबूत करें!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-11BBF3E8,S3,inactive,Identity → retention • compelling return value proposition,Core Drive 5: Social Influence,Social Curiosity,New Content,New content alert! Explore our latest lessons and discover new ways to improve your English skills.,नया सामग्री संकेत! हमारे नवीनतम अध्यायों को खोजें और अपने अंग्रेजी कौशल को सुधारने के नए तरीके खोजें!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-30AEA31C,S4,trial,Habit formation → retention • rapid adoption & habit formation,Core Drive 7: Unpredictability,Surprise & Delight,Daily Streak,You just hit a new daily streak! Keep the momentum going and see how long you can keep speaking!,आपने एक नया दैनिक स्ट्रीक हासिल किया! ध्यान रखें और देखें कि आप कितने दिनों तक बात कर सकते हैं!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-5F94148E,S4,trial,Habit formation → retention • rapid adoption & habit formation,Core Drive 7: Unpredictability,Social Proof,Leaderboard,You're climbing the ranks! Check out the top speakers and see how you can beat your friends' streaks.,आप स्कोर में चढ़ रहे हैं! दोस्तों के स्ट्रीक्स को टूटने से बचने के लिए देखें कि आप कैसे ऊपर चढ़ सकते हैं!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-E86F3526,S4,trial,Habit formation → retention • rapid adoption & habit formation,Core Drive 7: Unpredictability,Gamification,Daily Challenges,New challenge alert! Complete today's speaking task and earn rewards. Can you beat your previous streak?,नया चैलेंज अलर्ट! आज के बात करने के कार्य को पूरा करें और पुरस्कार प्राप्त करें। आप अपने पिछले स्ट्रीक को टूटने से बच सकते हैं?,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-68C7BCD6,S4,trial,Habit formation → retention • rapid adoption & habit formation,Core Drive 7: Unpredictability,Curiosity,Speaking Analytics,Want to know how you can improve your speaking skills? Check out your analytics and discover new ways to boost your streak.,आपकी बात करने की कौशल में सुधार करना चाहते हैं? अपने विश्लेषण को देखें और अपने स्ट्रीक को बढ़ाने के लिए नए तरीके खोजें!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-4CB48C5D,S4,trial,Habit formation → retention • rapid adoption & habit formation,Core Drive 7: Unpredictability,Incentive,Badges,Get your next badge! Complete your daily speaking task and earn a new badge. Collect them all and become a master speaker!,अगला बैज प्राप्त करें! आज के बात करने के कार्य को पूरा करें और एक नया बैज प्राप्त करें। उन सभी बैज को इकट्ठा करें और एक महान बोलचाल विशेषज्ञ बनें!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-7819DB56,S4,paid,Habit formation → retention • deepening engagement & retention,Core Drive 7: Unpredictability,Surprise and Delight,Daily Streak,You just broke your daily streak! Don't let it end here. Try a new conversation topic and keep the streak going!,आपने दैनिक स्ट्रीक को तोड़ दिया! यहाँ से निकलने दो नहीं। एक नया विषय आजमाएं और स्ट्रीक को जारी रखें!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-B598F5B1,S4,paid,Habit formation → retention • deepening engagement & retention,Core Drive 7: Unpredictability,Social Proof,Leaderboard,You're getting close to the top of the leaderboard! Keep up the good work and you'll be the champion soon.,आप लीडरबोर्ड के शीर्ष पर पहुँचने के करीब हैं! अच्छा काम करेंगे तो जल्द ही आप चैंपियन बन जाएंगे!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-C8227619,S4,paid,Habit formation → retention • deepening engagement & retention,Core Drive 7: Unpredictability,Personalization,Conversation History,We noticed you've been struggling with a particular topic. Let's try a new approach together! What's on your mind?,हमने देखा है कि आप एक विशिष्ट विषय पर संघर्ष कर रहे हैं। हम इसे साथ मिलकर एक नया दृष्टिकोण आजमाएंगे! आपकी चिंता क्या है?,,,UNTESTED,No Data Yet,True,1.0,1.0
